"","genes","cluster"
"GRB10","GRB10",1
"FKBP5","FKBP5",1
"ABHD17A","ABHD17A",2
"BCL2L2.PABPN1","BCL2L2.PABPN1",2
"CIRBP","CIRBP",2
"ESRRA","ESRRA",2
"HEATR5B","HEATR5B",1
"IER2","IER2",2
"MYCBP2.AS1","MYCBP2.AS1",1
"PABPN1","PABPN1",2
"PDAP1","PDAP1",2
"RNF175","RNF175",1
"SDF4","SDF4",2
"ASPH","ASPH",1
"AIM1","AIM1",1
"AKAP13","AKAP13",1
"APC2","APC2",2
"BRMS1","BRMS1",2
"CNBP","CNBP",2
"H1FX","H1FX",2
"IKZF1","IKZF1",1
"MED1","MED1",1
"SNF8","SNF8",2
"TMSB10","TMSB10",2
"UST","UST",1
"ZMAT3","ZMAT3",1
"GANC","GANC",1
"ARRDC2","ARRDC2",2
"FAM74A1","FAM74A1",1
"FOXN2","FOXN2",1
"SMG1","SMG1",1
"UTP6","UTP6",2
"SSU72","SSU72",2
"C19orf43","C19orf43",2
"GMFG","GMFG",2
"ISY1","ISY1",2
"LOC441081","LOC441081",1
"CEBPB.AS1","CEBPB.AS1",2
"AIF1","AIF1",2
"NCOR1","NCOR1",1
"ZNF658B","ZNF658B",1
"ARFGAP2","ARFGAP2",2
"NME9","NME9",1
"IL1R2","IL1R2",1
"CEBPB","CEBPB",2
"TMED8","TMED8",1
"ARHGAP24","ARHGAP24",1
"LFNG","LFNG",2
"PRKDC","PRKDC",1
"SMA5","SMA5",1
"YKT6","YKT6",2
"ZNF318","ZNF318",1
"DGKH","DGKH",1
"KIF5C","KIF5C",2
"SPTAN1","SPTAN1",1
"TPST1","TPST1",1
"TINF2","TINF2",2
"IL18R1","IL18R1",1
"PKN1","PKN1",2
"RPL36A.HNRNPH2","RPL36A.HNRNPH2",2
"TRAF7","TRAF7",2
"ARPC3","ARPC3",2
"ATP6V1E1","ATP6V1E1",2
"B2M","B2M",2
"C9orf69","C9orf69",2
"CBX6","CBX6",2
"CNOT1","CNOT1",1
"HIST1H1E","HIST1H1E",2
"ING4","ING4",2
"KANK1","KANK1",1
"L2HGDH","L2HGDH",1
"LOC101929089","LOC101929089",1
"MAP4","MAP4",1
"MCRS1","MCRS1",2
"MYL6","MYL6",2
"PIK3CA","PIK3CA",1
"POLR2G","POLR2G",2
"SOX5","SOX5",1
"SUB1","SUB1",2
"TNPO3","TNPO3",1
"USF2","USF2",2
"USP24","USP24",1
"ZBTB16","ZBTB16",1
"ZBTB7A","ZBTB7A",2
"DROSHA","DROSHA",1
"PKD2L2","PKD2L2",1
"GRIP1","GRIP1",1
"GOLPH3L","GOLPH3L",1
"CHST2","CHST2",2
"HUWE1","HUWE1",1
"NDUFA11","NDUFA11",2
"RBM3","RBM3",2
"MYCBP2","MYCBP2",1
"DBI","DBI",2
"LOC729683","LOC729683",2
"CHD7","CHD7",1
"TAOK1","TAOK1",1
"ERH","ERH",2
"KXD1","KXD1",2
"RBMS1","RBMS1",1
"ATP5O","ATP5O",2
"ANKRD20A3","ANKRD20A3",1
"DESI2","DESI2",1
"HIST2H3A","HIST2H3A",2
"HIST2H3C","HIST2H3C",2
"LOC286297","LOC286297",1
"NBPF15","NBPF15",1
"OGFR","OGFR",2
"PHC3","PHC3",1
"RFX3","RFX3",1
"RPS6KA3","RPS6KA3",1
"RPS6KB2","RPS6KB2",2
"DNAJC8","DNAJC8",2
"KMT2A","KMT2A",1
"MARC1","MARC1",1
"NUP188","NUP188",1
"S100A6","S100A6",2
"WDR44","WDR44",1
"NCOA3","NCOA3",1
"PSMB10","PSMB10",2
"SPATA31A5","SPATA31A5",1
"SPATA31A7","SPATA31A7",1
"FAM74A6","FAM74A6",1
"GUSBP3","GUSBP3",1
"SNORD54","SNORD54",2
"TIAL1","TIAL1",1
"SELO","SELO",2
"SMN1","SMN1",1
"SMN2","SMN2",1
"XAB2","XAB2",2
"CMTM2","CMTM2",2
"DEDD2","DEDD2",2
"HMGN2","HMGN2",2
"INO80D","INO80D",1
"RRP1","RRP1",2
"AGFG1","AGFG1",1
"ALCAM","ALCAM",1
"DOK2","DOK2",2
"EPG5","EPG5",1
"L3MBTL3","L3MBTL3",1
"SDF2","SDF2",2
