"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARHGAP24",1312.5666007291,0.306169310269979,0.0742254596331357,4.12485570023063,3.7096726547819e-05,0.00733278628095223
"ASPH",762.049263676494,0.316205024812069,0.0789223684699575,4.00653238039144,6.16166815172525e-05,0.00877523882248252
"C9orf84",1102.29489000094,0.372986957849651,0.0999990185742222,3.7299061847573,0.000191551079088133,0.0123989845532123
"FKBP5",1088.63168208868,0.318167376903006,0.0803588713954241,3.95933107792655,7.5159983714209e-05,0.00890241310454709
"GRB10",187.081488151737,0.430585735292887,0.0952364598351251,4.52122785788472,6.1481964708172e-06,0.00318806055592613
"IL1R1",782.904381336732,0.355930035295974,0.11708175512046,3.0400128092526,0.00236568087011478,0.0344962808847065
"KANK1",186.021178974954,0.398017246941242,0.101169048058412,3.93418001434036,8.34812014517945e-05,0.00912668015347933
"KCNH7",462.03684064136,0.272178819182381,0.0905942004668287,3.00437354466238,0.00266128361884459,0.0371618803604751
"LIPC",134.653827711144,0.325404012934488,0.0874452292500402,3.72123231564789,0.000198252946048419,0.0125232157771291
"LOC101928694",98.8712312359996,0.334851717021684,0.0929927766861807,3.6008357740698,0.000317195894087797,0.0146489478848707
"LOC101929378",81.5383039607333,0.446281970807548,0.133248451274949,3.34924696337878,0.000810315332384229,0.0208316615073922
"LOC441081",335.770027615834,0.29815519269006,0.0691735327405501,4.3102496124978,1.63070373918012e-05,0.00453404960223706
"MARC1",189.155125423006,0.27575972453569,0.075672528911129,3.64411931917258,0.000268308934190532,0.0137475170916617
"MBNL3",1600.38131336315,0.279511381953246,0.0838529630244944,3.33335128386099,0.000858065298606623,0.021452274207352
"RAP2C-AS1",1216.12526179689,0.352614675665189,0.0951362441152096,3.70641787411929,0.000210211358115009,0.0128880155380121
"RNF175",258.861358005774,0.324718396724487,0.0880498000306704,3.68789476650007,0.000226117123043366,0.0129762052223919
"SOX5",121.845888856697,0.4174985093825,0.133853003759245,3.11908210990493,0.00181415397853008,0.030736951693381
"TPST1",237.650186897187,0.42102311460873,0.12181297670835,3.45630757892702,0.00054763004312682,0.0165686028354186
"UNC45B",566.317376289679,0.700301281679611,0.243914862931976,2.87108900729397,0.00409060327372271,0.0450320744056479
"YOD1",548.222950126365,0.417443100839789,0.12294331123123,3.39541124001994,0.000685255885866468,0.0192890857746273
"ZNF658B",693.228115600147,0.321818986039503,0.0994698545233473,3.23534187902092,0.0012149715884471,0.0253943821990937
